center,bu,team,employee_count,location_fixity,movement_complexity,data_density,external_activity,cluster,reliability_score,correction_factor,correction_type
영업센터,Sales&Operation담당,Market Intelligence팀,10,89.40914158305463,12.5,17.94,17.112597547380158,2,0.6576365663322186,0.9215273132664438,minimal
영업센터,Sales&Operation담당,Sales&Operation담당,1,86.02150537634408,29.0,4.65,0.0,4,0.43708602150537634,0.9074172043010753,extended
영업센터,Sales&Operation담당,Sales&Operation팀,18,92.8655561164395,8.944444444444445,16.508333333333333,12.939592798250041,2,0.7031288911324246,0.930625778226485,minimal
영업센터,영업지원담당,Global PA팀,3,93.46733668341709,27.0,13.266666666666666,19.22110552763819,0,0.6392026800670016,0.92,standard
영업센터,영업지원담당,PM팀,68,91.77180219173037,3.6176470588235294,15.969117647058823,13.988396721613409,2,0.8585577970022156,0.9825673391006647,very_minimal
영업센터,영업지원담당,마케팅팀,24,92.24055638892676,7.125,15.277083333333334,13.636983499249967,2,0.755212225555707,0.9410424451111414,minimal
영업센터,영업지원담당,영업지원담당,1,100.0,19.0,7.1,5.633802816901409,4,0.542,0.92,standard
오퍼레이션센터,-,Validation팀,45,95.1982309271837,6.266666666666667,14.068888888888889,15.179276575580477,2,0.7741707014865126,0.9448341402973025,minimal
오퍼레이션센터,-,오퍼레이션센터,4,96.2515114873035,30.0,10.3375,23.09552599758162,0,0.591756045949214,0.92,standard
오퍼레이션센터,DP담당,DP Compliance팀,26,66.19063434075058,6.961538461538462,17.371153846153845,11.247647514668438,2,0.6559163835168484,0.9211832767033697,minimal
오퍼레이션센터,DP담당,DP담당,1,69.3103448275862,46.0,14.5,7.931034482758621,4,0.5672413793103448,0.92,standard
오퍼레이션센터,DP담당,무균충전팀,165,64.9577734567722,2.1333333333333333,20.883030303030303,34.59093943175552,2,0.7958310938270888,0.9491662187654178,minimal
오퍼레이션센터,DP담당,이물검사·패키징팀,166,67.82864504220424,1.6987951807228916,15.665361445783134,21.590493952969677,2,0.8203507247471302,0.9711052174241391,very_minimal
