center,bu,team,employee_count,total_tags,unique_tags,g1_count,g2_count,g3_count,g4_count,n1_count,n2_count,t1_count,t2_count,t3_count,m1_count,m2_count,knox_total_count,knox_approval_count,knox_pims_count,knox_mail_count,o_tag_count,eam_count,lams_count,mes_count,equis_count,mdm_count,tag_diversity,tags_per_person,movement_complexity,cluster,reliability_score,correction_factor,correction_type
경영지원센터,Operational Excellence담당,CSV그룹,10,3180,129,1471,0,29,5,8,96,1571,0,0,0,0,0,0,0,0,259,13,0,0,246,0,12.9,318.0,12.9,4,0.7935,0.9487,minimal
경영지원센터,-,IR팀,6,1444,86,1238,0,5,4,17,24,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,240.7,14.3,4,0.8144999999999999,0.96935,very_minimal
경영지원센터,Operational Excellence담당,IT팀,50,22128,266,11336,0,14,63,14,388,10313,0,0,0,0,0,0,0,0,5242,63,0,0,581,4598,5.3,442.6,5.3,3,0.5855,0.92,standard
경영지원센터,Operational Excellence담당,MES팀,91,36186,546,21335,52,104,117,6,779,13793,0,0,0,0,0,0,0,0,4779,1949,0,442,2259,129,6.0,397.6,6.0,3,0.61,0.92,standard
경영지원센터,Operational Excellence담당,OES혁신그룹,11,4278,160,2187,0,6,12,6,83,1984,0,0,0,0,0,0,0,0,115,15,0,0,100,0,14.5,388.9,14.5,4,0.8175,0.9702500000000001,very_minimal
경영지원센터,Operational Excellence담당,Operational Excellence담당,1,408,50,201,0,0,0,0,28,179,0,0,0,0,0,0,0,0,5,0,0,0,5,0,50.0,408.0,50.0,4,0.9,0.995,very_minimal
경영지원센터,-,경영지원센터,1,388,17,387,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,388.0,17.0,4,0.8549999999999999,0.9815,very_minimal
경영지원센터,-,사업전략팀,34,10743,201,8305,77,1,70,85,181,2024,0,0,0,0,0,0,0,0,413,34,0,0,141,238,5.9,316.0,5.9,3,0.6065,0.92,standard
경영지원센터,-,재경팀,46,14504,198,11553,0,223,59,37,235,2397,0,0,0,0,0,0,0,0,3111,0,0,0,23,3088,4.3,315.3,4.3,3,0.5505,0.92,standard
경영지원센터,-,준법경영팀,16,5866,188,4244,0,0,53,70,171,1328,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11.8,366.6,11.7,4,0.777,0.9454,minimal
경영지원센터,-,지속가능경영팀,18,6169,162,4912,0,0,22,65,121,1049,0,0,0,0,0,0,0,0,223,0,0,0,30,193,9.0,342.7,8.9,4,0.713,0.9326,minimal
경영진단팀,-,경영진단팀,15,5973,159,5082,0,1,26,2,150,712,0,0,0,0,0,0,0,0,69,0,0,0,69,0,10.6,398.2,10.6,4,0.759,0.9418000000000001,minimal
대표이사,-,대표이사,1,124,48,82,0,0,1,0,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.0,124.0,48.0,4,0.9,0.995,very_minimal
바이오연구소,-,AI Lab,9,2395,143,600,0,1,88,0,68,1638,0,0,0,0,0,0,0,0,23,0,0,0,23,0,15.9,266.1,15.8,4,0.8384999999999999,0.97655,very_minimal
바이오연구소,-,Bio R&D지원그룹,6,2863,165,1380,0,0,58,2,86,1337,0,0,0,0,0,0,0,0,42,17,0,0,25,0,27.5,477.2,27.5,4,0.9,0.995,very_minimal
바이오연구소,-,GT기술Lab,11,4452,140,1624,0,0,130,2,73,2623,0,0,0,0,0,0,0,0,1428,0,0,0,45,1383,12.7,404.7,12.6,3,0.7905,0.9481,minimal
