center,bu,team,employee_count,p1_ratio,p2_ratio,p3_ratio,p4_ratio,p5_ratio,location_fixity,office_ratio,cafeteria_ratio,movement_complexity,data_density,external_activity,primary_plant,cluster,reliability_score,correction_factor,correction_type
오퍼레이션센터,DP담당,DP Compliance팀,26,41.115908336100965,40.54024133731872,6.3323369866046715,11.624045167718366,0.0,66.19063434075058,25.949297022030333,0.0,6.961538461538462,17.371153846153845,11.247647514668438,P1,1,0.6559163835168484,0.9211832767033697,minimal
오퍼레이션센터,DP담당,DP담당,1,49.310344827586206,38.62068965517241,2.7586206896551726,15.517241379310345,0.0,69.3103448275862,32.758620689655174,0.0,46.0,14.5,7.931034482758621,P1,1,0.5672413793103448,0.92,standard
오퍼레이션센터,DP담당,무균충전팀,165,39.7669559160693,33.3981484168674,2.7744725309806424,6.867980381344864,0.0,64.9577734567722,21.85767768523087,0.0,2.1333333333333333,20.883030303030303,34.59093943175552,P1,1,0.7958310938270888,0.9491662187654178,minimal
오퍼레이션센터,DP담당,이물검사·패키징팀,166,49.639485473668024,32.421311696052605,5.847064931069623,6.879578534484416,0.0,67.82864504220424,13.591878328750791,0.0,1.6987951807228916,15.665361445783134,21.590493952969677,P1,1,0.8203507247471302,0.9711052174241391,very_minimal
오퍼레이션센터,DS담당,ADC/mRNA운영팀,16,5.208046293744833,17.511711215210802,53.18269495728851,24.014880132267844,0.0,78.89225682006062,35.06475613116561,0.0,12.9375,22.68125,14.962799669330392,P3,4,0.6155690272802425,0.92,standard
오퍼레이션센터,DS담당,DS Compliance그룹,29,5.147282113574248,32.87276040085029,13.331308836926814,78.19617370179168,0.09110233829334953,93.50136653507441,12.465836623139994,0.0,6.413793103448276,11.355172413793102,23.70179167931977,P4,5,0.7086951213127114,0.9317390242625423,minimal
오퍼레이션센터,DS담당,DS System Readiness그룹,23,8.663967611336032,35.62753036437247,15.530364372469634,69.78137651821862,0.38866396761133604,93.4412955465587,14.315789473684209,0.0,11.0,13.42391304347826,19.59514170040486,P4,5,0.6422434430558002,0.92,standard
오퍼레이션센터,DS담당,DS담당,1,6.2015503875969,22.868217054263564,4.651162790697675,74.03100775193798,3.488372093023256,100.0,23.643410852713178,0.0,45.0,12.9,28.68217054263566,P4,5,0.658,0.9216000000000001,minimal
오퍼레이션센터,DS담당,Plant 1팀,177,50.50623553612754,27.773849318590898,1.8690537413216766,5.751799948572898,0.009642581640524558,58.27172795062998,29.046670095140136,0.0,1.5932203389830508,17.577401129943503,13.615325276420673,P1,1,0.7852903016330284,0.9470580603266057,minimal
오퍼레이션센터,DS담당,Plant 2팀,400,10.471659432481726,78.93084873248597,7.453802542097302,5.227700094727764,0.03958772215074439,89.50783978283306,12.860354310113248,0.0,1.145,17.68225,13.739060357137808,P2,2,0.9236813591313322,1.0,very_minimal
오퍼레이션센터,DS담당,Plant 3팀,430,3.7864315080007946,7.636288609374761,82.45632804022559,10.143509957053997,0.04202900765692103,92.85430453454785,8.306460240558756,0.0,0.8976744186046511,15.216511627906977,18.712078372636824,P3,4,0.944486985580052,1.0,very_minimal
오퍼레이션센터,DS담당,Plant 4A팀,434,0.5197072342606384,26.188760229984464,2.9781066320729033,84.89085347298963,0.01601563125610596,88.52079629718605,8.581175227021573,0.0,0.9101382488479263,14.386866359447003,20.42953923028876,P4,5,0.9145163649122465,0.999354909473674,very_minimal
오퍼레이션센터,DS담당,Plant 4B팀,208,0.7616523224807192,16.034617656921135,3.4378143612180048,87.04073323007648,0.006387021572165361,91.28011879860124,14.809906270458429,0.0,1.6490384615384615,15.054567307692306,23.777284557778593,P4,5,0.915649321348251,0.9996947964044753,very_minimal
오퍼레이션센터,DS담당,Plant 5팀,234,0.3057021115871723,1.9923751519658182,1.4706750233112613,2.2107338030995125,92.43416781747578,96.69983357529833,26.26323430473425,0.0,1.7222222222222223,18.103205128205126,4.103962324280301,P5,6,0.9351326676345266,1.0,very_minimal
오퍼레이션센터,DS담당,오퍼레이션기획팀,47,4.694154961486181,36.248300860897146,13.466243769823288,78.58631626642502,0.0,94.89805165382873,10.820117806977798,0.0,4.51063829787234,11.73936170212766,16.78296329859538,P4,5,0.779060291721698,0.9458120583443397,minimal
오퍼레이션센터,DS담당,오퍼레이션혁신팀,24,4.708777686628384,30.04101722723544,7.547169811320755,82.55947497949138,0.0,94.88105004101722,11.337161607875307,0.0,7.916666666666667,12.697916666666668,25.430680885972105,P4,5,0.6959825334974022,0.9291965066994805,minimal
오퍼레이션센터,MSAT담당,MSAT 1팀,90,13.16956261234272,31.76752546434991,54.95905731975235,34.37986818454164,0.0,96.6287197922908,37.235869782304775,0.0,2.7222222222222223,13.908333333333335,8.54004393848612,P3,4,0.8830148791691632,0.989904463750749,very_minimal
오퍼레이션센터,MSAT담당,MSAT 2팀,108,1.7571884984025559,18.448704295349664,5.232516861909834,41.14305999290025,46.208732694355696,95.2076677316294,22.09442669506567,0.0,3.138888888888889,13.041666666666666,13.532126375576855,P5,6,0.8474973375931842,0.9792492012779553,very_minimal
오퍼레이션센터,MSAT담당,MSAT PD팀,59,22.8927660930529,70.19996813256851,18.001115360101977,11.504142766093054,0.0,94.33954748247291,29.91953473550032,0.0,5.016949152542373,21.27457627118644,10.078075207138305,P2,2,0.8268497153536205,0.9730549146060862,very_minimal
오퍼레이션센터,MSAT담당,MSAT PMO T/F,12,3.4340222575516695,32.87758346581876,8.235294117647058,77.74244833068363,0.7313195548489666,92.43243243243244,4.419713831478537,0.0,14.0,13.104166666666666,27.631160572337045,P4,5,0.6318130630630631,0.92,standard
오퍼레이션센터,MSAT담당,MSAT Technical Excellence팀,29,7.843513280276153,25.007191485281428,47.48298015150063,37.836801227346825,1.5245948796624795,92.58797583660946,32.90823664780899,0.0,9.0,17.981034482758623,13.893949563716559,P3,4,0.7003519033464378,0.9300703806692876,minimal
